Baliza;X;WL0;WL1;WL2;WL3;WL4;WL5;WL6;WL7;WL8
;;0,0;0,75;1,5;2,25;3,0;3,75;4,5;5,25;6,0
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;4,286;0,9189;1,409;1,6618;1,8664;2,0449;2,2062;2,355;2,4942;2,6256
2;8,571;1,3267;2,0342;2,3991;2,6945;2,9522;3,1851;3,3999;3,6008;3,7905
3;12,857;1,6195;2,4832;2,9286;3,2892;3,6037;3,888;4,1503;4,3955;4,6271
4;17,143;1,8341;2,8123;3,3168;3,7252;4,0814;4,4034;4,7004;4,9781;5,2404
5;21,429;1,983;3,0405;3,5859;4,0274;4,4126;4,7607;5,0818;5,382;5,6656
6;25,714;2,0709;3,1753;3,7449;4,206;4,6082;4,9717;5,3071;5,6207;5,9168
7;30,0;2,1;3,22;3,7976;4,2651;4,673;5,0417;5,3817;5,6997;6,0
8;34,286;2,0709;3,1753;3,7449;4,206;4,6082;4,9717;5,3071;5,6207;5,9168
9;38,571;1,983;3,0405;3,5859;4,0274;4,4126;4,7607;5,0818;5,382;5,6656
10;42,857;1,8341;2,8123;3,3168;3,7252;4,0814;4,4034;4,7004;4,9781;5,2404
11;47,143;1,6195;2,4832;2,9286;3,2892;3,6037;3,888;4,1503;4,3955;4,6271
12;51,429;1,3267;2,0342;2,3991;2,6945;2,9522;3,1851;3,3999;3,6008;3,7905
13;55,714;0,9189;1,409;1,6618;1,8664;2,0449;2,2062;2,355;2,4942;2,6256
14;60,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
